"little_n" "big_n" "statistic" "mean" "median" "sd"
10 10 "simpson" 0.8118 0.82 0.0378707564513066
10 10 "shannon" 1.77799110026784 1.83437197028162 0.171646916784078
10 10 "unique" 6.562 7 0.969069190045316
10 20 "simpson" 0.85484 0.86 0.0295134790467923
10 20 "shannon" 2.01361088276309 2.02532622077007 0.166033807368625
10 20 "unique" 8.016 8 1.06905887905526
10 30 "simpson" 0.85996 0.86 0.0285659660157752
10 30 "shannon" 2.04606972429344 2.02532622077007 0.160613719677597
10 30 "unique" 8.237 8 1.03532743753022
10 40 "simpson" 0.8753 0.88 0.021306430108396
10 40 "shannon" 2.13804154027639 2.16395565688206 0.133409625246654
10 40 "unique" 8.842 9 0.910969739270115
10 50 "simpson" 0.87548 0.88 0.0231539565885769
10 50 "shannon" 2.14245662701828 2.16395565688206 0.137215405450475
10 50 "unique" 8.886 9 0.912050347204494
10 60 "simpson" 0.88376 0.88 0.0179717941615573
10 60 "shannon" 2.19340221612581 2.16395565688206 0.114920063897445
10 60 "unique" 9.227 9 0.79504911993103
10 70 "simpson" 0.88456 0.88 0.0178528744219278
10 70 "shannon" 2.19937891667897 2.16395565688206 0.113575399399898
10 70 "unique" 9.272 9 0.783983820388299
10 80 "simpson" 0.88398 0.88 0.0175974222336475
10 80 "shannon" 2.19482249029429 2.16395565688206 0.113303992296045
10 80 "unique" 9.237 9 0.785778880123698
10 90 "simpson" 0.88588 0.88 0.0160774402217543
10 90 "shannon" 2.2069566312641 2.16395565688206 0.104935494402247
10 90 "unique" 9.32 9 0.733578992432399
10 100 "simpson" 0.88638 0.9 0.0179336894479975
10 100 "shannon" 2.21220349462267 2.30258509299405 0.111337883324558
10 100 "unique" 9.365 10 0.759178076179335
10 110 "simpson" 0.88586 0.88 0.0170866132499202
10 110 "shannon" 2.20804461153931 2.16395565688206 0.108003517675793
10 110 "unique" 9.333 9 0.742065806826897
10 120 "simpson" 0.889 0.9 0.0145055303388194
10 120 "shannon" 2.22763347245848 2.30258509299405 0.0958927333314041
10 120 "unique" 9.465 10 0.674707514579639
10 130 "simpson" 0.88902 0.9 0.0148344079645822
10 130 "shannon" 2.22837623424675 2.30258509299405 0.0963016609651637
10 130 "unique" 9.473 10 0.670612198458038
10 140 "simpson" 0.88922 0.9 0.0166273289517009
10 140 "shannon" 2.23118009256967 2.30258509299405 0.103040204750756
10 140 "unique" 9.499 10 0.700349548075449
10 150 "simpson" 0.88912 0.9 0.0156547331714939
10 150 "shannon" 2.22962389917175 2.30258509299405 0.0994015010126893
10 150 "unique" 9.484 10 0.68717990091112
10 160 "simpson" 0.89002 0.9 0.0143179818621413
10 160 "shannon" 2.23532605105936 2.30258509299405 0.0917931708916758
10 160 "unique" 9.523 10 0.637084670100354
10 170 "simpson" 0.8906 0.9 0.0146920337549251
10 170 "shannon" 2.23926000008487 2.30258509299405 0.0942844939614369
10 170 "unique" 9.551 10 0.654084724501974
10 180 "simpson" 0.88836 0.9 0.0163455675208168
10 180 "shannon" 2.22478750370818 2.30258509299405 0.102651549485053
10 180 "unique" 9.451 10 0.704340184211504
10 190 "simpson" 0.8894 0.9 0.0147464388059443
10 190 "shannon" 2.2308375842894 2.30258509299405 0.0962181199676946
10 190 "unique" 9.49 10 0.672571447767711
10 200 "simpson" 0.88966 0.9 0.015495951875394
10 200 "shannon" 2.23317593969629 2.30258509299405 0.0993251554429847
10 200 "unique" 9.509 10 0.688762218326031
10 210 "simpson" 0.89162 0.9 0.0130209502397153
10 210 "shannon" 2.24570762396742 2.30258509299405 0.0856467053951653
10 210 "unique" 9.595 10 0.601112582081205
10 220 "simpson" 0.89174 0.9 0.0130054427660707
10 220 "shannon" 2.24636679134062 2.30258509299405 0.0860198183546942
10 220 "unique" 9.599 10 0.605446583577416
10 230 "simpson" 0.8928 0.9 0.0119792947832292
10 230 "shannon" 2.25336893296761 2.30258509299405 0.0801498988135747
10 230 "unique" 9.648 10 0.56781900145946
10 240 "simpson" 0.89234 0.9 0.0129418658582097
10 240 "shannon" 2.25078458828919 2.30258509299405 0.0839608779325489
10 240 "unique" 9.632 10 0.583880909875394
10 250 "simpson" 0.89142 0.9 0.0144149710853471
10 250 "shannon" 2.24494380696547 2.30258509299405 0.0919636966436546
10 250 "unique" 9.592 10 0.635562695522591
10 260 "simpson" 0.8923 0.9 0.0123475690912204
10 260 "shannon" 2.24981689244308 2.30258509299405 0.0828650679633973
10 260 "unique" 9.622 10 0.58775969703737
10 270 "simpson" 0.89158 0.9 0.0131482499396869
10 270 "shannon" 2.24562131934568 2.30258509299405 0.0851202510322913
10 270 "unique" 9.595 10 0.594414273321499
10 280 "simpson" 0.89314 0.9 0.0124858438359727
10 280 "shannon" 2.25600289225374 2.30258509299405 0.0815925884220646
10 280 "unique" 9.668 10 0.572803722145817
10 290 "simpson" 0.89326 0.9 0.0115544755790085
10 290 "shannon" 2.25638480075472 2.30258509299405 0.0779492328219537
10 290 "unique" 9.669 10 0.554749264755485
10 300 "simpson" 0.8934 0.9 0.0111608496345289
10 300 "shannon" 2.25752781605097 2.30258509299405 0.074379320266355
10 300 "unique" 9.678 10 0.525920709415962
10 310 "simpson" 0.89292 0.9 0.0114719311890024
10 310 "shannon" 2.25402810034081 2.30258509299405 0.0772221060161637
10 310 "unique" 9.652 10 0.548814355859245
10 320 "simpson" 0.892 0.9 0.0128750054666305
10 320 "shannon" 2.24816897401008 2.30258509299405 0.085331047793067
10 320 "unique" 9.612 10 0.601512940690241
10 330 "simpson" 0.89244 0.9 0.0134695147584398
10 330 "shannon" 2.25194594859246 2.30258509299405 0.0847322057236728
10 330 "unique" 9.642 10 0.58324623974457
10 340 "simpson" 0.89176 0.9 0.0136926947636282
10 340 "shannon" 2.24695528889243 2.30258509299405 0.0884162154869821
10 340 "unique" 9.605 10 0.615917489891588
10 350 "simpson" 0.89338 0.9 0.0120299759068887
10 350 "shannon" 2.2574754912366 2.30258509299405 0.0801268437770397
10 350 "unique" 9.678 10 0.566247857953239
10 360 "simpson" 0.89404 0.9 0.0108718258170649
10 360 "shannon" 2.26179134876309 2.30258509299405 0.073040657114855
10 360 "unique" 9.708 10 0.518656924184958
10 370 "simpson" 0.89306 0.9 0.0121484148753648
10 370 "shannon" 2.25551633412401 2.30258509299405 0.0798038342186726
10 370 "unique" 9.665 10 0.55954274911582
10 380 "simpson" 0.89358 0.9 0.0120718403455864
10 380 "shannon" 2.25896643522647 2.30258509299405 0.0788659619323313
10 380 "unique" 9.689 10 0.553701711741607
10 390 "simpson" 0.89384 0.9 0.0107968037386521
10 390 "shannon" 2.26014614053676 2.30258509299405 0.0735227426393226
