"little_n" "big_n" "statistic" "mean" "median" "sd"
100 101 "simpson" 0.9849012 0.9848 0.000160575042719416
100 101 "shannon" 4.30391002887203 4.29835092583997 0.00788068529920228
100 101 "unique" 80.345 80 0.475606140836299
100 102 "simpson" 0.9871184 0.987 0.000158766012252784
100 102 "shannon" 4.42170994609725 4.41448695616721 0.00915322163868692
100 102 "unique" 87.478 87 0.598225604495392
100 104 "simpson" 0.98576 0.9858 0.000265160913994313
100 104 "shannon" 4.34169816059244 4.33993975667357 0.0144774756074883
100 104 "unique" 82.325 82 0.907854172870947
100 108 "simpson" 0.9850378 0.985 0.000451503062021748
100 108 "shannon" 4.31942896020191 4.31744635088882 0.0206501101679122
100 108 "unique" 81.623 82 1.1951147640705
100 116 "simpson" 0.9859934 0.986 0.0004619630394846
100 116 "shannon" 4.34944425424315 4.34687122847917 0.0265436402703499
100 116 "unique" 82.515 82 1.72532656379937
100 132 "simpson" 0.9851246 0.9852 0.000756337812678228
100 132 "shannon" 4.31432080674897 4.31561185018708 0.0377049370841497
100 132 "unique" 80.944 81 2.24987242436676
100 164 "simpson" 0.984829 0.9848 0.00104363219966048
100 164 "shannon" 4.30473033404912 4.30358340727762 0.0467031446925189
100 164 "unique" 80.461 80 2.73238813951184
100 228 "simpson" 0.9859268 0.986 0.0009041345138967
100 228 "shannon" 4.35308546904243 4.35380270028477 0.0463738768730949
100 228 "unique" 83.005 83 2.88431868806036
100 356 "simpson" 0.9840126 0.9842 0.00128605411051603
100 356 "shannon" 4.25746979294308 4.25946786105186 0.057273069131237
100 356 "unique" 77.438 78 3.30349346435997
100 612 "simpson" 0.9844412 0.9846 0.00133419737769291
100 612 "shannon" 4.28157070712508 4.28414187488356 0.0606067887055231
100 612 "unique" 78.987 79 3.48381514549323
100 1124 "simpson" 0.9852404 0.9854 0.00119067440786537
100 1124 "shannon" 4.31979715215688 4.32084433162472 0.0575281382790548
100 1124 "unique" 81.133 81 3.42359928029435
100 2148 "simpson" 0.9854002 0.9856 0.00120760020630101
100 2148 "shannon" 4.32896066415212 4.33130929450001 0.0583410484701936
100 2148 "unique" 81.715 82 3.47560855892243
100 4196 "simpson" 0.9852246 0.9854 0.0012192626630228
100 4196 "shannon" 4.31971667598853 4.32607681306237 0.057795955061869
100 4196 "unique" 81.154 81 3.43191813160833
150 151 "simpson" 0.989472355555556 0.989422222222222 6.70196564479603e-05
150 151 "shannon" 4.64987777404591 4.64548743877883 0.00523426831149217
150 151 "unique" 113.426 113 0.494741112874977
150 152 "simpson" 0.988224711111111 0.988177777777778 0.000123461039633225
150 152 "shannon" 4.5839876103811 4.58305902241717 0.00811931025251399
150 152 "unique" 109.884 110 0.680446182300267
150 154 "simpson" 0.988100088888889 0.988088888888889 0.000178977687899505
150 154 "shannon" 4.57463530960692 4.57562090404003 0.0115857865040134
150 154 "unique" 108.851 109 0.976602658583699
150 158 "simpson" 0.986550933333333 0.986488888888889 0.000341170418615812
150 158 "shannon" 4.49485627282624 4.49470856286344 0.0183445223797584
150 158 "unique" 103.972 104 1.37953583466293
150 166 "simpson" 0.989458844444444 0.989422222222222 0.000257081367654347
150 166 "shannon" 4.65763148816724 4.6569947216769 0.0193633147617989
150 166 "unique" 114.785 115 1.79944797452247
150 182 "simpson" 0.988268622222222 0.988266666666667 0.000475186515950309
150 182 "shannon" 4.59363777346882 4.59410482885496 0.0291925295370229
150 182 "unique" 110.82 111 2.42021847308408
150 214 "simpson" 0.989571911111111 0.9896 0.000497551341160059
150 214 "shannon" 4.68248376804966 4.68245528840869 0.0332955009253662
150 214 "unique" 118.016 118 2.9213487087779
150 278 "simpson" 0.988723555555556 0.988711111111111 0.000662803622482041
150 278 "shannon" 4.61494889660034 4.61531555062078 0.0432561771988929
150 278 "unique" 111.874 112 3.6487583418798
150 406 "simpson" 0.987977244444444 0.988 0.000806456791929121
150 406 "shannon" 4.56407659571557 4.56350212090805 0.0502148817934112
150 406 "unique" 107.737 108 4.08368797871575
150 662 "simpson" 0.988258933333333 0.988355555555556 0.000929451252482806
150 662 "shannon" 4.5875421605464 4.5888126638662 0.0570608787827668
150 662 "unique" 109.881 110 4.62733738247508
150 1174 "simpson" 0.989156 0.989244444444444 0.000731457207860367
150 1174 "shannon" 4.64678835131355 4.64775275926943 0.0490475277812129
150 1174 "unique" 114.614 114.5 4.21197634665067
150 2198 "simpson" 0.988640444444444 0.988711111111111 0.00084627458575906
150 2198 "shannon" 4.61078738129632 4.61078490963957 0.0547241197029636
150 2198 "unique" 111.639 112 4.56086400591823
150 4246 "simpson" 0.9886392 0.988711111111111 0.00088834826847521
150 4246 "shannon" 4.61428262765811 4.61653855108861 0.0547180432374299
150 4246 "unique" 112.102 112 4.4606606566173
200 201 "simpson" 0.990446 0.99045 5.74656619409059e-05
200 201 "shannon" 4.80270852373637 4.80521963299248 0.0046006439646011
200 201 "unique" 138.504 139 0.50023417939424
200 202 "simpson" 0.9903929 0.9904 7.9062259269782e-05
200 202 "shannon" 4.79724698843698 4.79785252851501 0.00653698853750378
200 202 "unique" 138.011 138 0.705249159075264
200 204 "simpson" 0.98967615 0.98965 0.000145498616307326
200 204 "shannon" 4.7588454059795 4.75838881087134 0.00975512802853199
200 204 "unique" 135.128 135 0.989239402063327
200 208 "simpson" 0.98937315 0.98935 0.000247977963881018
200 208 "shannon" 4.76988651012856 4.77012664129261 0.0136449563194084
200 208 "unique" 138.022 138 1.35031083063839
200 216 "simpson" 0.99084525 0.99085 0.000216983915347465
200 216 "shannon" 4.85427286891292 4.85431107863733 0.0172662409645747
200 216 "unique" 145.335 145 1.87143722237142
200 232 "simpson" 0.9909237 0.9909 0.000308664192260104
200 232 "shannon" 4.85965742894421 4.86009075458172 0.0230326123529939
200 232 "unique" 145.376 145 2.48168950168686
200 264 "simpson" 0.9902257 0.99025 0.000447369701309387
200 264 "shannon" 4.79681313112524 4.79693052323919 0.0313483426623163
200 264 "unique" 138.58 139 3.19872346910948
200 328 "simpson" 0.99046715 0.9905 0.00046222508535294
200 328 "shannon" 4.80534157585724 4.80740024103943 0.0368290697150017
200 328 "unique" 138.641 139 3.94025946412729
